conversation_id,turn_number,role,language,convention_count,refactor_count,warning_count,error_count,fatal_count,loc,total_issues,issue_density_per_kloc
00062dde784e5493a8c10ef2a1a67a90,1,user,python,1,0,1,1,0,2,3,1500.0
00062dde784e5493a8c10ef2a1a67a90,2,user,python,0,0,0,1,0,2,1,500.0
00062dde784e5493a8c10ef2a1a67a90,3,user,python,0,0,0,1,0,2,1,500.0
000de7ac199d40df8d53d93bd8fa687d,1,user,python,3,0,1,1,0,24,5,208.33
0017ff3eafbe9519becd1be640254962,1,user,python,0,0,0,1,0,6,1,166.67
00188c01c273e4d42be9cbd270a7d1d1,1,user,python,3,0,1,1,0,43,5,116.28
00188c01c273e4d42be9cbd270a7d1d1,2,user,python,6,0,0,1,0,59,7,118.64
00188c01c273e4d42be9cbd270a7d1d1,3,user,python,0,0,0,1,0,50,1,20.0
00188c01c273e4d42be9cbd270a7d1d1,4,user,python,5,0,0,1,0,56,6,107.14
00188c01c273e4d42be9cbd270a7d1d1,5,user,python,5,1,1,1,0,84,8,95.24
00188c01c273e4d42be9cbd270a7d1d1,6,user,python,4,1,0,1,0,14,6,428.57
00256207cd4934c3af54d925cffc945c,1,user,python,4,0,1,0,0,35,5,142.86
00256207cd4934c3af54d925cffc945c,2,user,python,1,0,0,0,0,2,1,500.0
00256207cd4934c3af54d925cffc945c,3,user,python,0,0,0,1,0,8,1,125.0
00256207cd4934c3af54d925cffc945c,4,user,python,4,0,1,1,0,29,6,206.9
00256207cd4934c3af54d925cffc945c,5,user,python,3,0,1,1,0,20,5,250.0
0026077491cc15da46a0dc45db71823c,1,user,python,2,0,1,0,0,18,3,166.67
0026077491cc15da46a0dc45db71823c,2,user,python,2,0,1,0,0,18,3,166.67
0026077491cc15da46a0dc45db71823c,3,user,python,1,0,0,1,0,3,2,666.67
0026077491cc15da46a0dc45db71823c,4,user,python,2,0,0,1,0,14,3,214.29
0026077491cc15da46a0dc45db71823c,5,user,python,1,0,0,1,0,7,2,285.71
0026077491cc15da46a0dc45db71823c,6,user,python,2,0,1,1,0,4,4,1000.0
0026077491cc15da46a0dc45db71823c,7,user,python,0,0,0,0,0,12,0,0.0
0026077491cc15da46a0dc45db71823c,8,user,python,0,0,0,0,0,21,0,0.0
0026077491cc15da46a0dc45db71823c,9,user,python,0,0,0,0,0,22,0,0.0
004f799bf03c99e88db13fcb0b3aed9c,1,user,python,4,0,0,0,0,38,4,105.26
004f799bf03c99e88db13fcb0b3aed9c,2,user,python,4,0,0,0,0,37,4,108.11
0050802a1c66cf6ed3b8749c28d9f5ed,1,user,python,2,0,0,1,0,13,3,230.77
0050802a1c66cf6ed3b8749c28d9f5ed,2,user,python,1,0,0,1,0,17,2,117.65
0050802a1c66cf6ed3b8749c28d9f5ed,3,user,python,1,0,0,1,0,17,2,117.65
0050802a1c66cf6ed3b8749c28d9f5ed,4,user,python,2,0,1,0,0,24,3,125.0
006016ca7de285a41c8d68501aa572aa,1,user,python,1,0,1,0,0,15,2,133.33
00736d762cd307a61d6f30ddf99c83d1,1,user,python,4,1,1,0,0,20,6,300.0
00736d762cd307a61d6f30ddf99c83d1,2,user,python,3,0,1,0,0,14,4,285.71
00736d762cd307a61d6f30ddf99c83d1,3,user,python,3,0,1,0,0,10,4,400.0
0086059f7200d2c7b6d29db5896486ef,1,user,python,1,0,0,0,0,8,1,125.0
0086059f7200d2c7b6d29db5896486ef,2,user,python,1,0,1,1,0,11,3,272.73
0098bb9111bdc2fe5e51e15e8f322c0f,1,user,python,1,0,1,1,0,13,3,230.77
0098bb9111bdc2fe5e51e15e8f322c0f,2,user,python,1,0,1,1,0,11,3,272.73
0098bb9111bdc2fe5e51e15e8f322c0f,3,user,python,1,0,0,0,0,9,1,111.11
0098bb9111bdc2fe5e51e15e8f322c0f,4,user,python,1,0,1,0,0,18,2,111.11
009ca40694309f22d186266752b1cdc6,1,user,python,3,0,0,1,0,8,4,500.0
00a368a66612a012f2c611e1da659429,1,user,python,1,0,0,1,0,24,2,83.33
00a368a66612a012f2c611e1da659429,2,user,python,1,0,0,1,0,39,2,51.28
00a9db0e0096f57595eafc81058dda75,1,user,python,1,0,0,2,0,26,3,115.38
00a9db0e0096f57595eafc81058dda75,2,user,python,1,0,0,2,0,26,3,115.38
00ad80b05bc6f4f434b123ea8a62af06,1,user,python,2,0,1,1,0,12,4,333.33
00ad80b05bc6f4f434b123ea8a62af06,2,user,python,3,1,1,1,0,45,6,133.33
00bb725a27f1cb2b850759c3f8d85b4e,1,user,python,3,1,1,1,0,26,6,230.77
00bb725a27f1cb2b850759c3f8d85b4e,2,user,python,3,0,1,0,0,24,4,166.67
00bb725a27f1cb2b850759c3f8d85b4e,3,user,python,3,0,2,1,0,28,6,214.29
00bb725a27f1cb2b850759c3f8d85b4e,4,user,python,3,0,2,1,0,11,6,545.45
00bb725a27f1cb2b850759c3f8d85b4e,5,user,python,3,1,2,1,0,20,7,350.0
00cf3b4269b16301e3db74d9cb13329d,1,user,python,3,2,1,2,0,24,8,333.33
00cf3b4269b16301e3db74d9cb13329d,2,user,python,1,0,0,2,0,4,3,750.0
00cf3b4269b16301e3db74d9cb13329d,3,user,python,3,0,1,2,0,19,6,315.79
00cf3b4269b16301e3db74d9cb13329d,4,user,python,3,0,1,2,0,21,6,285.71
00cf3b4269b16301e3db74d9cb13329d,5,user,python,4,0,1,2,0,22,7,318.18
00cf3b4269b16301e3db74d9cb13329d,6,user,python,4,0,1,2,0,24,7,291.67
00cf3b4269b16301e3db74d9cb13329d,7,user,python,0,0,0,0,0,3,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,1,user,python,1,0,0,0,0,2,1,500.0
00d0c7b06a20b9b51042fd9b7a6989d2,2,user,python,5,1,0,0,0,17,6,352.94
00d0c7b06a20b9b51042fd9b7a6989d2,3,user,python,1,0,0,1,0,2,2,1000.0
00d0c7b06a20b9b51042fd9b7a6989d2,4,user,python,1,0,0,0,0,6,1,166.67
00d0c7b06a20b9b51042fd9b7a6989d2,5,user,python,1,0,0,1,0,3,2,666.67
00d0c7b06a20b9b51042fd9b7a6989d2,6,user,python,4,1,1,0,0,21,6,285.71
00d0c7b06a20b9b51042fd9b7a6989d2,7,user,python,0,0,0,0,0,4,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,8,user,python,0,0,0,0,0,18,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,9,user,python,0,0,0,0,0,8,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,10,user,python,0,0,0,0,0,9,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,11,user,python,0,0,0,0,0,11,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,12,user,python,0,0,0,0,0,7,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,13,user,python,0,0,0,0,0,14,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,14,user,python,0,0,0,0,0,4,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,15,user,python,0,0,0,0,0,6,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,16,user,python,0,0,0,0,0,8,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,17,user,python,0,0,0,0,0,11,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,18,user,python,0,0,0,0,0,18,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,19,user,python,0,0,0,0,0,15,0,0.0
00d0c7b06a20b9b51042fd9b7a6989d2,20,user,python,0,0,0,0,0,3,0,0.0
00d1564a1a75581205e341cb11bde126,1,user,python,0,0,0,1,0,42,1,23.81
00d1564a1a75581205e341cb11bde126,2,user,python,4,0,0,2,0,37,6,162.16
00d1564a1a75581205e341cb11bde126,3,user,python,2,0,0,1,0,9,3,333.33
00d1564a1a75581205e341cb11bde126,4,user,python,1,0,0,1,0,3,2,666.67
