conversation_id,turn_number,role,language,critical_issues_count,high_issues_count,medium_issues_count,low_issues_count,very_minor_issues_count,loc,total_issues
00025badb6bf2c882aa37054079c1166,1,assistant,java,1,1,4,0,0,42,6
00025badb6bf2c882aa37054079c1166,2,assistant,java,0,1,7,0,0,58,8
00025badb6bf2c882aa37054079c1166,3,assistant,java,0,0,7,0,0,46,7
00025badb6bf2c882aa37054079c1166,4,assistant,java,0,1,7,1,0,29,9
00025badb6bf2c882aa37054079c1166,5,assistant,java,0,0,0,0,0,35,0
00025badb6bf2c882aa37054079c1166,6,assistant,java,0,0,0,0,0,12,0
00025badb6bf2c882aa37054079c1166,7,assistant,java,0,0,0,0,0,39,0
00025badb6bf2c882aa37054079c1166,8,assistant,java,0,0,0,0,0,21,0
002abf7ba6d9c34e3536577171d56d16,1,assistant,java,0,0,3,0,0,3,3
002abf7ba6d9c34e3536577171d56d16,2,assistant,java,0,0,0,0,0,15,0
006425167630098e2775186a1440b756,1,assistant,java,0,0,0,0,0,18,0
006425167630098e2775186a1440b756,2,assistant,java,0,0,3,0,0,5,3
006425167630098e2775186a1440b756,3,assistant,java,0,0,0,0,0,20,0
00af34dd7d2953086a748142f7091094,1,assistant,java,0,0,8,0,0,63,8
00af34dd7d2953086a748142f7091094,2,assistant,java,0,0,8,0,0,67,8
00d2a5e9a055d23a592e23d7a37bad4a,1,assistant,java,0,1,4,0,0,17,5
00d2a5e9a055d23a592e23d7a37bad4a,2,assistant,java,0,0,3,1,0,15,4
01067813def9638902c25dd9fcacc73f,1,assistant,java,0,1,3,0,0,17,4
01067813def9638902c25dd9fcacc73f,2,assistant,java,0,1,4,0,0,23,5
01067813def9638902c25dd9fcacc73f,3,assistant,java,1,1,10,2,0,58,14
01067813def9638902c25dd9fcacc73f,4,assistant,java,1,1,10,2,0,59,14
013fc25cb39cc81bfdfe6b8f293a346c,1,assistant,java,1,1,4,0,0,19,6
013fc25cb39cc81bfdfe6b8f293a346c,2,assistant,java,1,1,4,0,0,20,6
017cc5a2e81bfb9952047bc6d75ff408,1,assistant,java,0,0,4,0,0,7,4
017cc5a2e81bfb9952047bc6d75ff408,2,assistant,java,0,0,2,0,0,2,2
01a1625d5cbd4c7f182afc48ea7a8b8a,1,assistant,java,0,0,0,0,0,6,0
01a1625d5cbd4c7f182afc48ea7a8b8a,2,assistant,java,0,0,7,0,0,18,7
01a1625d5cbd4c7f182afc48ea7a8b8a,3,assistant,java,0,0,0,0,0,6,0
01ca5536e1670275c5431ff2247e411a,1,assistant,java,0,0,7,1,0,38,8
01ca5536e1670275c5431ff2247e411a,2,assistant,java,0,0,2,0,0,4,2
01ca5536e1670275c5431ff2247e411a,3,assistant,java,0,0,2,0,0,4,2
01ca5536e1670275c5431ff2247e411a,4,assistant,java,0,1,8,1,0,74,10
01ca5536e1670275c5431ff2247e411a,5,assistant,java,0,0,2,0,0,4,2
01ca5536e1670275c5431ff2247e411a,6,assistant,java,0,0,2,0,0,26,2
01ca5536e1670275c5431ff2247e411a,7,assistant,java,0,0,0,0,0,45,0
01ca5536e1670275c5431ff2247e411a,8,assistant,java,0,0,0,0,0,41,0
01ca5536e1670275c5431ff2247e411a,9,assistant,java,0,0,0,0,0,42,0
01d6ee21e8839813132f9ba29fa51956,1,assistant,java,0,0,6,1,0,10,7
01d6ee21e8839813132f9ba29fa51956,2,assistant,java,0,0,4,1,0,12,5
01eab6a283e55c681bb3b46f4fe3364e,1,assistant,java,0,0,8,0,0,47,8
01eab6a283e55c681bb3b46f4fe3364e,2,assistant,java,0,0,7,0,0,75,7
0208262f0f8e26ff70dea4b294188d40,1,assistant,java,0,0,0,0,0,9,0
0208262f0f8e26ff70dea4b294188d40,2,assistant,java,0,0,0,0,0,11,0
0208262f0f8e26ff70dea4b294188d40,3,assistant,java,0,1,3,0,0,5,4
0208262f0f8e26ff70dea4b294188d40,4,assistant,java,0,1,3,0,0,5,4
020d4eeb2aa22328a1cf5947564b7798,1,assistant,java,0,0,0,0,0,2,0
020d4eeb2aa22328a1cf5947564b7798,2,assistant,java,0,0,0,0,0,2,0
0237d54c77aac1bdea140c2879464e69,1,assistant,java,0,1,5,1,0,15,7
0237d54c77aac1bdea140c2879464e69,2,assistant,java,0,1,4,0,0,14,5
0237d54c77aac1bdea140c2879464e69,3,assistant,java,0,1,5,0,0,18,6
0237d54c77aac1bdea140c2879464e69,4,assistant,java,0,1,4,0,0,22,5
023e8d8ac6297a4f9b63db78283d0974,1,assistant,java,0,1,5,0,0,33,6
023e8d8ac6297a4f9b63db78283d0974,2,assistant,java,0,0,0,0,0,11,0
023e8d8ac6297a4f9b63db78283d0974,3,assistant,java,0,1,14,0,0,151,15
0245bb40404685d3e6bbf99a3391a959,1,assistant,java,0,0,0,0,0,18,0
0245bb40404685d3e6bbf99a3391a959,2,assistant,java,0,0,0,0,0,24,0
0245bb40404685d3e6bbf99a3391a959,3,assistant,java,0,0,0,0,0,14,0
0245bb40404685d3e6bbf99a3391a959,4,assistant,java,0,0,7,0,0,37,7
0245bb40404685d3e6bbf99a3391a959,5,assistant,java,0,0,0,0,0,20,0
0245bb40404685d3e6bbf99a3391a959,6,assistant,java,0,0,0,0,0,19,0
0245bb40404685d3e6bbf99a3391a959,7,assistant,java,0,0,0,0,0,11,0
0245bb40404685d3e6bbf99a3391a959,8,assistant,java,0,0,0,0,0,2,0
0245bb40404685d3e6bbf99a3391a959,9,assistant,java,0,0,0,0,0,23,0
0245bb40404685d3e6bbf99a3391a959,10,assistant,java,0,0,0,0,0,10,0
0245bb40404685d3e6bbf99a3391a959,11,assistant,java,0,0,0,0,0,5,0
0245bb40404685d3e6bbf99a3391a959,12,assistant,java,0,0,0,0,0,14,0
026ed499519f774458ccd3fe81144f6d,1,assistant,java,0,0,0,0,0,2,0
026ed499519f774458ccd3fe81144f6d,2,assistant,java,0,0,0,0,0,6,0
026ed499519f774458ccd3fe81144f6d,3,assistant,java,0,0,0,0,0,3,0
026ed499519f774458ccd3fe81144f6d,4,assistant,java,0,0,0,0,0,6,0
026ed499519f774458ccd3fe81144f6d,5,assistant,java,0,0,0,0,0,6,0
026ed499519f774458ccd3fe81144f6d,6,assistant,java,0,0,2,0,0,13,2
026ed499519f774458ccd3fe81144f6d,7,assistant,java,0,0,0,0,0,11,0
026ed499519f774458ccd3fe81144f6d,8,assistant,java,0,0,0,0,0,11,0
026ed499519f774458ccd3fe81144f6d,9,assistant,java,0,0,0,0,0,6,0
026ed499519f774458ccd3fe81144f6d,10,assistant,java,0,0,0,0,0,5,0
0293f12a3ca25b39f31fd4688b939e7d,1,assistant,java,0,0,3,0,0,10,3
0293f12a3ca25b39f31fd4688b939e7d,2,assistant,java,0,0,2,0,0,4,2
0293f12a3ca25b39f31fd4688b939e7d,3,assistant,java,0,0,6,1,0,72,7
0293f12a3ca25b39f31fd4688b939e7d,4,assistant,java,0,0,6,1,0,72,7
02b4de8b364274e1d3c2988d69b9ae06,1,assistant,java,1,1,5,0,0,29,7
02b4de8b364274e1d3c2988d69b9ae06,2,assistant,java,1,1,8,0,0,68,10
030338349295b8413a9272c8e1277159,1,assistant,java,0,1,3,0,0,10,4
030338349295b8413a9272c8e1277159,2,assistant,java,0,1,3,0,0,8,4
031fd12f9c8aac424ff3f0db3cdfba4f,1,assistant,java,0,0,0,0,0,50,0
031fd12f9c8aac424ff3f0db3cdfba4f,2,assistant,java,0,0,0,0,0,50,0
031fd12f9c8aac424ff3f0db3cdfba4f,3,assistant,java,0,0,0,0,0,19,0
031fd12f9c8aac424ff3f0db3cdfba4f,4,assistant,java,0,0,0,0,0,8,0
031fd12f9c8aac424ff3f0db3cdfba4f,5,assistant,java,0,0,0,0,0,12,0
031fd12f9c8aac424ff3f0db3cdfba4f,6,assistant,java,0,0,0,0,0,26,0
031fd12f9c8aac424ff3f0db3cdfba4f,7,assistant,java,0,0,0,0,0,28,0
0322511a1c87358ff50058a4875d6847,1,assistant,java,0,0,0,0,0,21,0
0322511a1c87358ff50058a4875d6847,2,assistant,java,0,0,0,0,0,2,0
0322511a1c87358ff50058a4875d6847,3,assistant,java,0,0,6,0,0,29,6
0322511a1c87358ff50058a4875d6847,4,assistant,java,0,0,4,0,0,11,4
032bd6a2408052f9c2c3733e86b9d8ad,1,assistant,java,0,0,3,0,0,10,3
032bd6a2408052f9c2c3733e86b9d8ad,2,assistant,java,0,0,3,0,0,12,3
03603fbe5d8e1d6813dee658fde19ef6,1,assistant,java,0,0,6,0,0,27,6
03603fbe5d8e1d6813dee658fde19ef6,2,assistant,java,0,0,5,0,0,21,5
036e9cdd6d99b250ca1908bc3d5a5c6b,1,user,java,0,0,0,0,0,12,0
036e9cdd6d99b250ca1908bc3d5a5c6b,2,assistant,java,0,0,3,0,0,21,3
