conversation_id,turn_number,snippet_number,role,language,convention_count,refactor_count,warning_count,error_count,fatal_count,score
3d0a86363ee8e8e62ffbda72c467bf31,1,1,assistant,python,5,3,3,0,0,1.82
3d0a86363ee8e8e62ffbda72c467bf31,2,1,assistant,python,5,2,2,0,0,5.88
3d0a86363ee8e8e62ffbda72c467bf31,3,1,assistant,python,1,2,0,1,0,0.0
3d0a86363ee8e8e62ffbda72c467bf31,4,1,assistant,python,1,2,0,1,0,0.0
3d0a86363ee8e8e62ffbda72c467bf31,5,1,assistant,python,1,2,0,1,0,0.0
3d0a86363ee8e8e62ffbda72c467bf31,6,1,assistant,python,1,2,1,2,0,0.0
d8847fc602c0b652a93ea362d05ee0d7,1,1,assistant,python,0,0,0,1,0,0.0
d8847fc602c0b652a93ea362d05ee0d7,2,1,assistant,python,2,2,0,6,0,0.0
d641807ad3a45c02620c61c4497032d7,1,1,assistant,python,14,2,2,1,0,0.0
d641807ad3a45c02620c61c4497032d7,2,1,assistant,python,6,2,2,0,0,0.0
c4fb6ae383e3192174f0426dab705c21,1,1,assistant,python,5,2,0,2,0,2.86
c4fb6ae383e3192174f0426dab705c21,2,1,assistant,python,6,2,0,1,0,5.6
9aa8da52dbe22f496178e5af7d7a1fd2,1,1,assistant,python,2,5,6,2,0,0.0
9aa8da52dbe22f496178e5af7d7a1fd2,2,1,assistant,python,2,5,6,2,0,0.0
9aa8da52dbe22f496178e5af7d7a1fd2,3,1,assistant,python,7,4,0,5,0,0.0
6db52ea05a622b665c81b594a1333dec,1,1,assistant,python,2,2,0,1,0,0.0
6db52ea05a622b665c81b594a1333dec,2,1,assistant,python,6,2,1,1,0,0.0
83db0f2c01795cd95b686985284670fb,1,1,assistant,python,4,2,0,1,0,0.0
83db0f2c01795cd95b686985284670fb,2,1,assistant,python,3,2,0,1,0,0.0
83db0f2c01795cd95b686985284670fb,3,1,assistant,python,1,2,0,1,0,0.0
83db0f2c01795cd95b686985284670fb,4,1,assistant,python,2,2,0,1,0,0.0
83db0f2c01795cd95b686985284670fb,5,1,assistant,python,2,3,0,1,0,0.0
83db0f2c01795cd95b686985284670fb,6,1,assistant,python,3,2,0,3,0,0.0
9397acbb42f5223545d7b0d306597a3d,1,1,assistant,python,1,2,0,1,0,0.0
9397acbb42f5223545d7b0d306597a3d,2,1,assistant,python,2,2,0,2,0,0.0
9397acbb42f5223545d7b0d306597a3d,3,1,assistant,python,3,2,0,3,0,0.0
9397acbb42f5223545d7b0d306597a3d,4,1,assistant,python,1,2,0,4,0,0.0
9397acbb42f5223545d7b0d306597a3d,5,1,assistant,python,2,2,0,4,0,0.0
1cb63d9c94e389446b2f7cd6600e7ed9,1,1,assistant,python,4,2,0,1,0,0.0
1cb63d9c94e389446b2f7cd6600e7ed9,2,1,assistant,python,1,2,0,1,0,0.0
1cb63d9c94e389446b2f7cd6600e7ed9,3,1,assistant,python,4,2,0,1,0,0.0
1cb63d9c94e389446b2f7cd6600e7ed9,4,1,assistant,python,1,2,5,2,0,0.0
510b91cf7d280b2eee3ced0c00768f93,1,1,assistant,python,5,2,0,2,0,3.48
510b91cf7d280b2eee3ced0c00768f93,2,1,assistant,python,4,2,0,1,0,1.0
510b91cf7d280b2eee3ced0c00768f93,3,1,assistant,python,1,2,0,1,0,0.0
510b91cf7d280b2eee3ced0c00768f93,4,1,assistant,python,1,2,0,1,0,0.0
e2fbd576ab2fec4128699ca6c5106a55,1,1,assistant,python,3,4,0,4,0,0.0
e2fbd576ab2fec4128699ca6c5106a55,2,1,assistant,python,14,11,0,3,0,2.96
e2fbd576ab2fec4128699ca6c5106a55,3,1,assistant,python,4,4,0,3,0,0.0
e2fbd576ab2fec4128699ca6c5106a55,4,1,assistant,python,5,4,0,4,0,0.0
e2fbd576ab2fec4128699ca6c5106a55,5,1,assistant,python,14,11,0,3,0,2.08
e2fbd576ab2fec4128699ca6c5106a55,6,1,assistant,python,6,6,20,3,0,0.0
b6a72df9bb80f974f2734798075566eb,1,1,assistant,python,10,3,2,6,0,0.0
b6a72df9bb80f974f2734798075566eb,2,1,assistant,python,3,2,1,1,0,5.0
b6a72df9bb80f974f2734798075566eb,3,1,assistant,python,7,2,3,7,0,0.0
2c1c482a49363aa69c69cb4f0b8765b4,1,1,user,python,14,3,5,6,0,0.0
2c1c482a49363aa69c69cb4f0b8765b4,2,1,assistant,python,2,2,0,2,0,0.0
ce1890ff95201a276146d6913a2b5b74,1,1,assistant,python,1,2,0,8,0,0.0
ce1890ff95201a276146d6913a2b5b74,2,1,assistant,python,1,2,0,8,0,0.0
c759c4be00b5b6f3ed6c793b26e32198,1,1,assistant,python,1,2,1,1,0,0.0
7932aebf3c203d19469ee1840a71919f,1,1,assistant,python,5,2,4,0,0,4.71
7932aebf3c203d19469ee1840a71919f,2,1,assistant,python,5,2,11,0,0,3.85
7932aebf3c203d19469ee1840a71919f,3,1,assistant,python,7,2,10,0,0,3.7
7932aebf3c203d19469ee1840a71919f,4,1,assistant,python,8,2,8,0,0,6.8
7932aebf3c203d19469ee1840a71919f,5,1,assistant,python,11,2,11,0,0,6.33
1c42be4f6e30f7ecd3255f0a280b06a5,1,1,assistant,python,3,2,0,1,0,1.11
1c42be4f6e30f7ecd3255f0a280b06a5,2,1,assistant,python,1,2,0,4,0,0.0
1c42be4f6e30f7ecd3255f0a280b06a5,3,1,assistant,python,3,3,1,1,0,6.55
5c1e536241576e233698f9d499d7a5a4,1,1,assistant,python,1,2,0,0,0,8.57
5c1e536241576e233698f9d499d7a5a4,2,1,assistant,python,1,2,0,1,0,2.5
5c1e536241576e233698f9d499d7a5a4,3,1,assistant,python,10,2,0,1,0,2.5
5c1e536241576e233698f9d499d7a5a4,4,1,assistant,python,10,2,0,1,0,2.5
5c1e536241576e233698f9d499d7a5a4,5,1,assistant,python,12,2,0,2,0,2.41
673e2ece61551cd2ca152e3d4b504faa,1,1,assistant,python,12,2,2,0,0,7.7
e9f5ba008f6a75c7b7df681c08a20b75,1,1,assistant,python,1,2,0,1,0,0.0
e9f5ba008f6a75c7b7df681c08a20b75,2,1,assistant,python,1,2,0,1,0,0.0
215238734b63f004ac27502a029ad64a,1,1,assistant,python,10,2,2,0,0,7.82
215238734b63f004ac27502a029ad64a,2,1,assistant,python,14,3,7,0,0,6.21
8ff6806d5aee3cd73190a59c1e192118,1,1,assistant,python,0,0,0,1,0,0.0
8ff6806d5aee3cd73190a59c1e192118,2,1,assistant,python,6,2,0,0,0,8.38
fc15cebae89d8a6917d3942c4cb11817,1,1,assistant,python,7,2,2,0,0,8.47
fc15cebae89d8a6917d3942c4cb11817,2,1,assistant,python,8,2,4,0,0,7.93
cff16097f457b4501f2888a7211739c7,1,1,assistant,python,6,2,0,1,0,2.67
cff16097f457b4501f2888a7211739c7,2,1,assistant,python,3,2,1,1,0,1.0
ffff7ca7343a8be7593bf52e920672a3,1,1,assistant,python,8,2,2,0,0,8.18
ffff7ca7343a8be7593bf52e920672a3,2,1,assistant,python,8,2,2,0,0,8.18
134042f193077f06d5e99d0eb950f48b,1,1,assistant,python,2,2,0,1,0,0.0
134042f193077f06d5e99d0eb950f48b,2,1,assistant,python,2,2,0,0,0,6.67
cd1531a99ac7b8dad599df351cc1bd12,1,1,assistant,python,1,2,3,6,0,0.0
4b64af4ee6f053c757cf2f71182836e0,1,1,assistant,python,7,4,5,0,0,3.0
f9a8c049c36c42c476663f7a31693039,1,1,assistant,python,23,3,9,0,0,6.63
f9a8c049c36c42c476663f7a31693039,2,1,assistant,python,15,2,8,0,0,6.23
e3a1e6027e914bf1325fb25f17addb54,1,1,assistant,python,1,2,0,2,0,0.0
4e0ce8cb21e8bad4096ef1d7acfa90a8,1,1,assistant,python,10,2,2,0,0,7.69
4e0ce8cb21e8bad4096ef1d7acfa90a8,2,1,assistant,python,10,4,3,1,0,6.67
ee89a1f811355c4d079a4a8baef3afef,1,1,assistant,python,11,4,6,1,0,5.93
ee89a1f811355c4d079a4a8baef3afef,2,1,assistant,python,11,4,6,1,0,6.07
ee89a1f811355c4d079a4a8baef3afef,3,1,assistant,python,12,2,2,0,0,7.78
396c0b0ab070fb2d9006c830b1200d5f,1,1,assistant,python,12,2,0,0,0,6.47
396c0b0ab070fb2d9006c830b1200d5f,2,1,assistant,python,9,2,4,0,0,6.06
944bc7e4654519cd1e7bfcd783599f24,1,1,assistant,python,0,0,0,1,0,0.0
4946e97208c90937d5781ef68968ec31,1,1,assistant,python,6,2,5,0,0,7.76
4946e97208c90937d5781ef68968ec31,2,1,assistant,python,6,4,6,0,0,7.45
4946e97208c90937d5781ef68968ec31,3,1,assistant,python,1,2,0,5,0,0.0
4946e97208c90937d5781ef68968ec31,4,1,assistant,python,5,2,7,1,0,5.14
337b0755d936292d55c158acadd62119,1,1,assistant,python,1,2,3,0,0,7.65
337b0755d936292d55c158acadd62119,2,1,assistant,python,1,2,3,0,0,8.1
337b0755d936292d55c158acadd62119,3,1,assistant,python,2,2,0,0,0,7.14
337b0755d936292d55c158acadd62119,4,1,assistant,python,3,2,0,0,0,5.71
337b0755d936292d55c158acadd62119,5,1,assistant,python,2,2,0,0,0,7.14
337b0755d936292d55c158acadd62119,6,1,assistant,python,1,2,3,0,0,8.67
a4085faf6ee94426b15256906f17f793,1,1,assistant,python,2,2,4,5,0,0.0
a4085faf6ee94426b15256906f17f793,2,1,assistant,python,2,2,4,5,0,0.0
61d89f56489dd42e0e5da01a1b2a4751,1,1,assistant,python,5,2,0,1,0,3.33
61d89f56489dd42e0e5da01a1b2a4751,2,1,assistant,python,5,2,0,1,0,3.33
61d89f56489dd42e0e5da01a1b2a4751,3,1,assistant,python,5,2,0,1,0,3.33
9b094c4614720e02d74f6f50da1d6a66,1,1,assistant,python,5,2,0,1,0,2.31
9b094c4614720e02d74f6f50da1d6a66,2,1,assistant,python,5,2,0,2,0,0.62
c03ffcd2c71a3cb2fbebc1088872909b,1,1,assistant,python,1,2,0,1,0,0.0
c03ffcd2c71a3cb2fbebc1088872909b,2,1,assistant,python,1,2,0,1,0,0.0
260e1c7c046fab2bbdd9b89a99099f71,1,1,assistant,python,8,2,1,0,0,6.09
260e1c7c046fab2bbdd9b89a99099f71,2,1,assistant,python,9,2,1,0,0,5.65
260e1c7c046fab2bbdd9b89a99099f71,3,1,assistant,python,10,2,2,0,0,5.38
741383457f41e8120b82c821fd664688,1,1,assistant,python,6,2,1,0,0,5.88
741383457f41e8120b82c821fd664688,2,1,assistant,python,18,2,13,5,0,3.56
741383457f41e8120b82c821fd664688,3,1,assistant,python,3,2,0,1,0,3.33
741383457f41e8120b82c821fd664688,4,1,assistant,python,20,2,13,5,0,3.7
7de639297db5d9ba8f7d9d115d45a128,1,1,assistant,python,4,3,0,4,0,3.59
7de639297db5d9ba8f7d9d115d45a128,2,1,assistant,python,2,2,0,2,0,0.77
7de639297db5d9ba8f7d9d115d45a128,3,1,assistant,python,2,3,1,3,0,2.08
7de639297db5d9ba8f7d9d115d45a128,4,1,assistant,python,3,4,1,3,0,2.5
7de639297db5d9ba8f7d9d115d45a128,5,1,assistant,python,4,4,1,3,0,2.14
7d8b3732bb232ba0aa9bcca5ca605b8b,1,1,assistant,python,2,2,0,12,0,0.0
7d8b3732bb232ba0aa9bcca5ca605b8b,2,1,assistant,python,2,2,0,12,0,0.0
7d8b3732bb232ba0aa9bcca5ca605b8b,3,1,assistant,python,2,2,0,14,0,0.0
7d8b3732bb232ba0aa9bcca5ca605b8b,4,1,assistant,python,3,2,0,16,0,0.0
ebe2c3fe93066e78a9e9b2b118fb9192,1,1,assistant,python,2,2,1,0,0,7.5
ebe2c3fe93066e78a9e9b2b118fb9192,2,1,assistant,python,2,2,2,0,0,6.67
ebe2c3fe93066e78a9e9b2b118fb9192,3,1,assistant,python,1,2,0,0,0,7.5
ebe2c3fe93066e78a9e9b2b118fb9192,4,1,assistant,python,1,2,0,1,0,1.43
f86b4340f9e72ecb57708ce7de9c5893,1,1,assistant,python,9,2,1,1,0,0.0
f86b4340f9e72ecb57708ce7de9c5893,2,1,assistant,python,13,2,2,0,0,4.64
bfbda10cf9a5a2d9ac8b7e10dd528adc,1,1,assistant,python,13,2,1,0,0,5.0
bfbda10cf9a5a2d9ac8b7e10dd528adc,2,1,assistant,python,9,2,1,0,0,6.15
de9f2c036df52dd1c98694639271aeb4,1,1,assistant,python,16,2,1,0,0,4.52
de9f2c036df52dd1c98694639271aeb4,2,1,assistant,python,10,2,2,0,0,5.0
ef4f68564a8139c5054301b2f6659e29,1,1,assistant,python,2,2,11,5,0,0.0
e4f2608620a5def807e516b311c3b0f9,1,1,assistant,python,5,2,2,2,0,3.46
e4f2608620a5def807e516b311c3b0f9,2,1,assistant,python,4,2,2,0,0,7.5
48af970d5e1fef7f9a6e42778cdbb411,1,1,assistant,python,7,2,3,0,0,7.06
48af970d5e1fef7f9a6e42778cdbb411,2,1,assistant,python,7,2,3,0,0,7.06
48af970d5e1fef7f9a6e42778cdbb411,3,1,assistant,python,7,2,1,0,0,7.65
69affe5add2d9b90f38831f2742e4426,1,1,assistant,python,2,2,0,0,0,7.14
69affe5add2d9b90f38831f2742e4426,2,1,assistant,python,2,2,0,0,0,7.14
fe58edd6bcab36e9d774b48a3b579a3c,1,1,assistant,python,1,2,0,2,0,0.0
160cb740c935ae985290da401686c6d4,1,1,assistant,python,0,0,0,1,0,0.0
160cb740c935ae985290da401686c6d4,2,1,assistant,python,2,2,0,7,0,0.0
160cb740c935ae985290da401686c6d4,3,1,assistant,python,1,2,5,1,0,0.0
160cb740c935ae985290da401686c6d4,4,1,assistant,python,5,2,0,2,0,1.67
80ba472066e26cd4529bcc90de5939db,1,1,assistant,python,4,2,1,0,0,7.83
80ba472066e26cd4529bcc90de5939db,2,1,assistant,python,3,2,2,0,0,7.62
e3588fa9650407264aa23b34f0acc00e,1,1,assistant,python,5,3,1,1,0,2.0
e3588fa9650407264aa23b34f0acc00e,2,1,assistant,python,5,3,2,2,0,1.82
591922f5786027bd64080a6270d16b39,1,1,assistant,python,1,2,0,2,0,0.0
591922f5786027bd64080a6270d16b39,2,1,assistant,python,9,2,2,5,0,0.0
591922f5786027bd64080a6270d16b39,3,1,assistant,python,1,2,0,2,0,0.0
591922f5786027bd64080a6270d16b39,4,1,assistant,python,6,2,2,5,0,0.57
2845a7920027d80752ef2a51208c617e,1,1,assistant,python,13,4,3,0,0,4.38
2845a7920027d80752ef2a51208c617e,2,1,assistant,python,13,5,3,0,0,4.24
144ab51a5aa75406ce0c20de4cee275c,1,1,assistant,python,1,2,3,3,0,0.0
144ab51a5aa75406ce0c20de4cee275c,2,1,assistant,python,1,2,4,4,0,0.0
